universe_id,period_id,timestamp,candidate_rank,pair,membership_rank,decision_close,return_72h,family_id,signal_strength,aux_value
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,3,LTC-USDT,8,42.483,0.030140640155188914,VOLATILITY_EXPANSION,2.9794077270053014,0.9887096774193469
C2,DISCOVERY_2019_2020,2020-07-06 07:00:00+00:00,4,XRP-USDT,7,0.18091,0.02877452374182532,VOLATILITY_EXPANSION,2.525714285714282,0.9954751131221674
C2,DISCOVERY_2019_2020,2020-07-06 09:00:00+00:00,1,LTC-USDT,8,42.428,0.0235206137070898,MOMENTUM_ACCELERATION,0.0022724024327245296,0.00955491049830659
C2,DISCOVERY_2019_2020,2020-07-06 10:00:00+00:00,1,KCS-USDT,3,0.85047,-0.03620724824913313,MOMENTUM_ACCELERATION,0.01398795132682551,0.005523526354593411
C2,DISCOVERY_2019_2020,2020-07-06 10:00:00+00:00,2,BTC-USDT,1,9203.9,0.01387986208264036,MOMENTUM_ACCELERATION,0.004119179172290766,0.0059119845004151905
C2,DISCOVERY_2019_2020,2020-07-06 12:00:00+00:00,1,XRP-USDT,7,0.18565,0.04934433642324221,MOMENTUM_BREAKOUT,1.9380753138075486,0.18372
C2,DISCOVERY_2019_2020,2020-07-06 12:00:00+00:00,2,LTC-USDT,8,42.894,0.03606193087123488,MOMENTUM_BREAKOUT,1.1456059204440134,42.636
C2,DISCOVERY_2019_2020,2020-07-06 12:00:00+00:00,3,ETH-USDT,2,235.67,0.037599612556685535,MOMENTUM_BREAKOUT,0.8406437361943719,234.56
C2,DISCOVERY_2019_2020,2020-07-06 12:00:00+00:00,1,XRP-USDT,7,0.18565,0.04934433642324221,RELATIVE_STRENGTH_ROTATION,0.008045155013155059,0.04129918141008715
C2,DISCOVERY_2019_2020,2020-07-06 12:00:00+00:00,1,XRP-USDT,7,0.18565,0.04934433642324221,VOLATILITY_EXPANSION,3.1531380753138145,0.9228295819935723
C2,DISCOVERY_2019_2020,2020-07-06 12:00:00+00:00,2,LTC-USDT,8,42.894,0.03606193087123488,VOLATILITY_EXPANSION,2.091396854764123,0.99767441860464
C2,DISCOVERY_2019_2020,2020-07-06 13:00:00+00:00,1,BTC-USDT,1,9268.1,0.017723214775934082,MOMENTUM_BREAKOUT,0.773199186556789,9238.0
C2,DISCOVERY_2019_2020,2020-07-06 16:00:00+00:00,1,LTC-USDT,8,43.863,0.05941598434896034,MOMENTUM_ACCELERATION,0.006436919480700021,0.01773729626078624
C2,DISCOVERY_2019_2020,2020-07-06 16:00:00+00:00,1,LTC-USDT,8,43.863,0.05941598434896034,MOMENTUM_BREAKOUT,2.392052980132435,43.261
