event_id,family_id,universe_id,period_id,pair,decision_time,horizon_hours,exit_time,entry_open,exit_open,forward_return
21814,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,72,2023-03-03 15:00:00+00:00,1.2377e-05,1.1339e-05,-0.08386523390159173
21815,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,6,2023-02-28 21:00:00+00:00,22.394,22.188,-0.00919889256050721
21815,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,24,2023-03-01 15:00:00+00:00,22.394,22.633,0.010672501562918768
21815,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,72,2023-03-03 15:00:00+00:00,22.394,21.33,-0.047512726623202606
21817,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,6,2023-02-28 21:00:00+00:00,1.2377e-05,1.2231e-05,-0.011796073361880932
21817,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,24,2023-03-01 15:00:00+00:00,1.2377e-05,1.2314e-05,-0.005090086450674658
21817,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,72,2023-03-03 15:00:00+00:00,1.2377e-05,1.1339e-05,-0.08386523390159173
21818,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,6,2023-02-28 21:00:00+00:00,22.394,22.188,-0.00919889256050721
21818,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,24,2023-03-01 15:00:00+00:00,22.394,22.633,0.010672501562918768
21818,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,SOL-USDT,2023-02-28 15:00:00+00:00,72,2023-03-03 15:00:00+00:00,22.394,21.33,-0.047512726623202606
21810,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,6,2023-02-28 21:00:00+00:00,1.2377e-05,1.2231e-05,-0.011796073361880932
21810,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 15:00:00+00:00,24,2023-03-01 15:00:00+00:00,1.2377e-05,1.2314e-05,-0.005090086450674658
