comparison,scope,year,top_n,decision_count,exact_match_rate,mean_jaccard,mean_symmetric_difference,mean_substitution_count,mean_rank_displacement,mean_spearman_common,mean_eligible_count_difference,mean_turnover_difference
A2_vs_C2,POST_WARMUP,2021,6,52,0.0,0.44267399267399254,4.769230769230769,2.3846153846153846,23.640031758317356,0.9624519015067414,-79.4423076923077,-77.46153846153847
A2_vs_C2,POST_WARMUP,2021,8,52,0.0,0.3960074113920266,7.038461538461538,3.519230769230769,23.640031758317356,0.9624519015067414,-79.4423076923077,-77.46153846153847
A2_vs_C2,POST_WARMUP,2021,10,52,0.0,0.3460834037757114,9.76923076923077,4.884615384615385,23.640031758317356,0.9624519015067414,-79.4423076923077,-77.46153846153847
A2_vs_C2,POST_WARMUP,2021,30,52,0.0,0.27431438928666785,26.884615384615383,26.884615384615383,23.640031758317356,0.9624519015067414,-79.4423076923077,-64.88461538461539
A2_vs_C2,POST_WARMUP,2021,HYSTERESIS,52,0.0,0.43827838827838816,4.8076923076923075,2.4038461538461537,23.640031758317356,0.9624519015067414,-79.4423076923077,-0.34615384615384615
A2_vs_C2,POST_WARMUP,2022,4,52,0.15384615384615385,0.5538461538461538,2.5,1.25,55.98518691453474,0.9423452669918339,-200.44230769230768,-198.71153846153845
A2_vs_C2,POST_WARMUP,2022,6,52,0.0,0.5093406593406592,4.038461538461538,2.019230769230769,55.98518691453474,0.9423452669918339,-200.44230769230768,-198.71153846153845
A2_vs_C2,POST_WARMUP,2022,8,52,0.0,0.4541629310860079,6.153846153846154,3.076923076923077,55.98518691453474,0.9423452669918339,-200.44230769230768,-198.71153846153845
A2_vs_C2,POST_WARMUP,2022,10,52,0.0,0.39900324034939416,8.76923076923077,4.384615384615385,55.98518691453474,0.9423452669918339,-200.44230769230768,-198.71153846153845
A2_vs_C2,POST_WARMUP,2022,30,52,0.0,0.22061746192967066,33.13461538461539,33.13461538461539,55.98518691453474,0.9423452669918339,-200.44230769230768,-190.65384615384616
A2_vs_C2,POST_WARMUP,2022,HYSTERESIS,52,0.0,0.5361721611721612,3.730769230769231,1.8653846153846154,55.98518691453474,0.9423452669918339,-200.44230769230768,-0.38461538461538464
A2_vs_C2,POST_WARMUP,2023,4,52,0.019230769230769232,0.576923076923077,2.1923076923076925,1.0961538461538463,82.25255574136008,0.9599225986227652,-264.8076923076923,-263.71153846153845
A2_vs_C2,POST_WARMUP,2023,6,52,0.0,0.34935897435897434,5.8076923076923075,2.9038461538461537,82.25255574136008,0.9599225986227652,-264.8076923076923,-263.71153846153845
A2_vs_C2,POST_WARMUP,2023,8,52,0.0,0.2630446476600324,9.384615384615385,4.6923076923076925,82.25255574136008,0.9599225986227652,-264.8076923076923,-263.75
A2_vs_C2,POST_WARMUP,2023,10,52,0.0,0.21238687782805435,13.038461538461538,6.519230769230769,82.25255574136008,0.9599225986227652,-264.8076923076923,-263.78846153846155
A2_vs_C2,POST_WARMUP,2023,30,52,0.0,0.18152874498561358,37.65384615384615,37.65384615384615,82.25255574136008,0.9599225986227652,-264.8076923076923,-258.28846153846155
